,City,Country,Latitude,Longitude,Date Time,Temperature,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Bluff,NZ,-46.6,168.33,1595011950,35.73,88,25,6.02
1,La Ronge,CA,55.1,-105.28,1595011950,59.0,93,90,9.17
2,Port Alfred,ZA,-33.59,26.89,1595011951,64.76,33,0,9.78
3,Pochutla,MX,15.74,-96.47,1595011951,91.4,49,20,5.66
4,Whitianga,NZ,-36.83,175.7,1595011951,55.53,85,99,9.6
5,Ronneby,SE,56.21,15.28,1595011951,64.4,88,1,6.93
6,Kavaratti,IN,10.57,72.64,1595011951,83.17,80,100,20.29
7,Torbay,CA,47.67,-52.73,1595011951,52.0,100,90,19.46
8,Rikitea,PF,-23.12,-134.97,1595011951,73.27,82,100,10.2
9,Palmer,US,42.16,-72.33,1595011951,71.01,88,90,3.36
10,Busselton,AU,-33.65,115.33,1595011952,46.0,73,75,8.79
11,Cidreira,BR,-30.18,-50.21,1595011952,61.77,86,3,6.44
12,New Norfolk,AU,-42.78,147.06,1595011952,37.99,91,100,2.89
13,Corinth,GR,37.94,22.96,1595011952,82.99,62,4,1.01
14,Mar del Plata,AR,-38.0,-57.56,1595011733,53.6,71,100,9.17
15,Saskylakh,RU,71.92,114.08,1595011952,49.15,85,100,10.25
16,Praia da Vitória,PT,38.73,-27.07,1595011952,71.6,78,75,11.95
17,Mount Gambier,AU,-37.83,140.77,1595011669,48.2,76,100,11.41
18,Ranot,TH,7.78,100.32,1595011953,81.32,77,41,3.87
19,Mahébourg,MU,-20.41,57.7,1595011953,71.6,73,75,12.75
20,Aksay,RU,47.26,39.87,1595011953,66.99,88,20,11.18
21,Caborca,MX,30.58,-111.1,1595011953,98.01,34,0,1.99
22,Noumea,NC,-22.28,166.46,1595011953,66.0,82,40,2.24
23,Khatanga,RU,71.97,102.5,1595011953,39.33,93,100,12.62
24,Atuona,PF,-9.8,-139.03,1595011953,79.48,76,4,16.22
25,Mangai,CD,-4.05,19.53,1595011954,76.28,60,8,1.21
26,Bol,TD,13.46,14.71,1595011954,82.09,69,94,4.38
27,Puerto Ayora,EC,-0.74,-90.35,1595011954,77.0,65,49,11.41
28,Hobart,AU,-42.88,147.33,1595011709,39.2,80,100,5.82
29,Punta Arenas,CL,-53.15,-70.92,1595011954,30.2,92,75,8.05
