,Country,Latitude,Longitude,Date Time,Temperature,Humidity,Cloudiness,Wind Speed
0,NE,13.21,12.02,1594933122,79.2,70,100,20.27
1,AR,-54.8,-68.3,1594932839,32.0,89,0,3.36
2,CN,38.72,112.76,1594933123,68.4,89,100,3.94
3,RE,-21.36,55.77,1594933123,68.0,68,75,6.93
4,MM,20.15,92.9,1594933123,82.09,82,100,5.3
5,MY,5.41,100.34,1594932979,78.8,100,40,3.71
6,AU,-33.65,115.33,1594933124,51.01,88,71,9.8
7,RU,62.67,131.17,1594933124,66.83,59,97,4.72
8,CA,54.78,-127.17,1594933124,60.8,77,75,3.36
9,IN,33.42,75.2,1594933124,65.84,68,0,2.39
10,PE,-17.2,-70.94,1594933125,75.79,23,0,7.36
11,PF,-23.12,-134.97,1594933125,73.58,81,100,4.43
12,NO,67.67,12.69,1594933125,57.2,87,40,8.05
13,US,40.91,-73.84,1594933060,78.01,47,75,11.41
14,ZA,-28.78,32.04,1594933125,56.01,77,0,5.01
15,ZA,-33.93,18.42,1594933125,48.2,87,0,3.36
16,US,34.64,-120.46,1594932934,75.2,53,8,5.82
17,NA,-26.65,15.16,1594933126,68.0,22,0,6.93
18,CA,49.78,-74.85,1594933126,64.4,93,90,10.29
19,US,42.1,-79.24,1594933126,79.0,88,90,8.05
20,NO,70.66,23.68,1594933126,55.4,76,20,4.7
21,CA,66.15,-65.71,1594933126,62.6,51,20,3.58
22,NO,59.36,5.22,1594933126,60.01,82,100,6.93
23,RU,59.7,30.79,1594933127,59.0,72,75,6.71
24,CN,21.85,111.97,1594933127,81.61,88,100,8.05
25,PF,-9.8,-139.03,1594933127,79.74,76,0,18.81
26,CA,55.35,-118.79,1594933127,68.0,56,75,12.75
27,BR,-24.79,-50.01,1594933127,59.7,76,93,2.84
28,PE,-13.7,-76.22,1594933127,62.01,87,90,3.36
29,ZA,-34.0,24.73,1594933128,47.8,55,35,3.78
30,ID,-3.33,128.92,1594933128,80.01,99,100,1.99
31,CA,52.78,-111.85,1594933128,73.33,70,81,9.28
32,RU,62.1,126.7,1594933128,68.23,65,7,2.62
33,TO,-21.2,-175.2,1594933128,77.0,78,20,6.93
34,AU,-35.72,150.18,1594933128,47.03,77,9,9.17
35,CL,-37.62,-73.65,1594933129,53.62,89,100,18.7
36,NZ,-46.6,168.33,1594932836,37.69,88,23,9.55
37,NZ,-46.19,168.86,1594933129,29.61,98,20,2.1
38,MV,-0.6,73.08,1594933129,84.22,69,97,4.81
39,GY,3.38,-59.8,1594933129,85.19,70,100,3.33
40,ZA,-33.02,27.91,1594932851,58.32,41,0,5.75
41,RU,68.75,161.3,1594933129,51.57,55,0,2.51
42,SE,64.75,20.95,1594933130,60.8,72,0,3.36
43,BR,-1.2,-46.02,1594933130,77.23,89,4,5.84
44,RU,70.63,147.92,1594933130,42.42,89,100,7.16
45,CA,58.81,-122.7,1594933130,62.6,82,90,3.36
46,MU,-20.34,57.76,1594933130,69.8,77,40,8.05
47,PR,18.38,-65.96,1594932967,89.01,70,40,12.03
48,US,47.5,-111.3,1594932863,84.0,24,1,10.29
49,EC,-0.74,-90.35,1594932837,75.2,69,20,18.34
50,RU,52.93,78.58,1594933131,66.45,91,35,7.63
51,CN,43.8,87.6,1594933131,77.0,38,0,8.95
52,AU,-34.73,135.87,1594933131,52.97,71,0,7.9
53,GL,69.22,-51.1,1594933131,44.38,68,95,2.8
54,US,19.73,-155.09,1594932851,82.4,65,1,5.82
55,ZA,-33.59,26.89,1594933132,57.61,49,14,7.49
56,US,71.29,-156.79,1594933132,35.6,80,90,12.75
57,MZ,-23.86,35.38,1594932906,62.73,77,3,10.33
58,UZ,40.13,63.45,1594933132,83.01,16,0,9.19
59,AU,-37.83,140.77,1594933132,32.0,96,75,6.93
60,MU,-20.41,57.7,1594933133,69.8,77,40,8.05
61,LR,6.3,-10.8,1594932934,75.2,94,40,7.2
62,KI,3.07,172.79,1594933133,83.1,68,54,10.42
63,MR,20.5,-10.07,1594933133,92.95,26,17,14.5
64,CA,69.45,-133.04,1594933133,55.4,62,75,12.75
65,RU,43.21,46.28,1594933133,73.4,69,32,8.95
66,US,26.98,-82.09,1594933134,91.0,78,40,11.41
67,PT,38.73,-27.07,1594933134,68.0,88,75,10.65
68,GL,77.48,-69.36,1594933134,44.15,78,85,4.34
69,UA,47.85,32.82,1594933134,68.0,49,100,6.71
70,BW,-21.42,25.58,1594933134,44.96,59,0,10.54
71,GB,53.41,-2.98,1594932917,66.2,77,40,6.93
72,NA,-21.98,16.92,1594933134,55.4,26,0,11.41
73,TH,13.81,102.07,1594933135,76.37,88,81,2.35
74,RU,60.47,166.1,1594933135,50.65,98,100,0.94
75,GL,65.61,-37.64,1594933135,48.2,66,97,13.87
76,US,42.6,-73.97,1594933135,78.01,57,91,1.01
77,UZ,40.43,71.72,1594933135,82.4,26,20,4.7
78,GL,61.99,-49.67,1594933135,45.32,80,17,20.6
79,MG,-14.27,50.17,1594933136,69.66,79,27,10.02
80,CK,-21.21,-159.78,1594933136,73.4,69,0,9.17
81,NG,10.4,5.47,1594933136,71.51,96,81,4.18
82,NC,-22.67,167.48,1594933136,69.31,64,85,13.67
83,CF,5.4,26.49,1594933136,68.11,94,92,2.13
84,US,44.96,-92.96,1594933107,82.99,44,20,12.75
85,CL,-53.15,-70.92,1594933111,32.0,93,75,5.82
86,CA,49.75,-77.63,1594932900,77.0,57,20,8.05
87,GL,72.79,-56.15,1594933137,45.43,80,14,6.4
88,RU,60.34,102.28,1594933137,53.74,96,100,9.95
89,CA,70.47,-68.59,1594933137,66.2,52,75,12.75
90,CN,21.48,109.1,1594933137,84.96,70,100,2.26
91,RU,73.51,80.55,1594933137,40.71,94,100,3.47
92,BR,-30.18,-50.21,1594933137,54.86,87,100,19.37
93,ZA,-34.42,19.23,1594932854,50.0,82,0,4.0
94,US,41.37,-73.41,1594932961,75.0,60,90,9.17
95,PG,-2.57,150.8,1594933138,82.51,69,57,2.73
96,MR,20.93,-17.03,1594933138,69.8,88,20,10.29
97,AU,-42.78,147.06,1594933138,37.99,89,8,2.46
98,AU,-24.87,113.63,1594932853,62.6,100,75,5.82
99,MV,4.17,73.51,1594933076,84.2,83,75,4.7
100,US,38.96,-122.63,1594933035,93.99,41,0,1.01
101,BR,-2.19,-56.71,1594933139,86.99,60,64,2.95
102,BR,-21.02,-47.76,1594933139,82.4,34,40,4.7
103,NU,-19.06,-169.92,1594933139,77.0,73,21,10.29
104,AU,-32.5,137.77,1594932917,37.99,100,0,6.93
105,PE,-4.58,-81.27,1594933132,65.23,80,6,13.4
106,US,57.05,-135.33,1594933139,59.0,77,75,10.29
107,US,45.52,-122.68,1594933140,82.99,53,40,4.7
108,PK,24.35,68.27,1594933140,86.97,71,100,9.35
109,IS,63.84,-22.43,1594933140,50.0,93,90,9.17
110,CL,-41.87,-73.82,1594933140,52.0,93,90,12.75
111,RU,50.32,130.37,1594933140,69.8,94,86,4.41
112,MX,27.98,-114.06,1594933141,79.47,49,0,16.91
113,BR,-0.61,-47.36,1594932935,79.99,84,36,10.58
114,US,57.79,-152.41,1594932886,57.2,76,90,4.7
115,NZ,-46.28,169.85,1594932848,42.01,71,9,7.14
116,RU,63.45,120.32,1594933141,58.62,81,51,4.99
117,US,37.1,-113.58,1594932954,104.0,12,1,12.75
118,AU,-20.32,118.57,1594933142,53.6,71,0,6.93
119,US,22.08,-159.32,1594933015,84.0,74,40,12.75
120,US,64.5,-165.41,1594932955,57.0,82,90,5.82
121,AU,-42.88,147.33,1594933041,39.0,93,20,3.36
122,PT,40.16,-8.33,1594932901,75.2,53,0,6.93
123,AU,-15.77,128.73,1594933142,51.8,38,3,6.02
124,AU,-38.27,141.97,1594933142,38.26,92,1,7.43
125,AR,-43.25,-65.31,1594933054,43.56,79,84,6.42
126,AU,-24.85,152.35,1594933143,50.0,61,0,10.29
127,CA,62.46,-114.35,1594933143,66.99,45,75,5.82
128,GH,5.81,-0.35,1594933143,75.2,88,48,13.87
129,CL,-29.95,-71.34,1594933143,57.2,71,41,5.82
130,BR,-22.97,-42.03,1594932868,69.8,64,75,6.93
131,BR,-32.03,-52.1,1594932853,53.6,87,61,11.41
132,NZ,-43.53,172.63,1594932942,39.99,100,97,5.73
133,NA,-22.96,14.51,1594933144,73.4,10,0,14.99
134,RO,46.43,26.4,1594933144,57.99,89,0,5.32
135,CA,48.47,-81.33,1594933144,80.6,42,75,10.29
136,RU,50.68,156.12,1594933144,52.16,90,84,3.02
137,NO,69.65,18.96,1594933144,55.4,82,91,8.05
138,BF,12.65,0.49,1594933144,80.96,70,100,13.98
139,ZA,-34.53,20.04,1594933145,50.0,93,0,2.24
140,AR,-43.3,-65.1,1594933145,44.4,78,96,6.71
141,AO,-15.2,12.15,1594933145,68.77,58,0,4.14
142,PE,-10.07,-78.15,1594933145,65.59,70,4,9.78
143,RU,44.36,135.81,1594933145,65.5,84,0,3.89
144,JP,35.37,132.77,1594933145,73.4,83,75,10.29
145,SJ,78.22,15.64,1594933145,46.4,81,75,1.12
146,PH,12.22,125.48,1594933146,82.09,79,21,5.66
147,ID,-8.61,120.47,1594933146,59.27,92,0,1.23
148,GN,8.68,-8.63,1594933146,67.84,97,98,3.98
149,RU,70.02,135.6,1594933146,46.27,69,1,7.14
150,UY,-34.48,-54.33,1594932944,46.51,81,47,5.06
151,TR,39.0,41.75,1594933146,67.17,49,9,5.41
152,AR,-38.0,-57.56,1594933011,55.4,50,0,9.17
153,US,59.64,-151.55,1594933146,66.2,52,1,16.11
154,RU,65.37,64.67,1594933147,54.03,70,100,6.26
155,PH,4.8,119.85,1594933147,82.6,71,96,6.02
156,TL,-8.93,125.41,1594933147,55.69,91,0,2.84
157,RU,66.0,111.5,1594932869,51.8,76,0,4.47
158,US,40.6,-124.16,1594933147,70.0,77,20,18.34
159,BR,-1.83,-44.87,1594933148,77.56,83,2,3.29
160,SA,26.33,43.98,1594933148,96.8,19,2,10.29
161,GN,11.67,-9.5,1594933148,72.7,93,100,1.74
162,BR,-4.38,-70.03,1594933148,89.6,70,20,4.7
163,RU,71.97,102.5,1594933148,49.37,75,100,15.37
164,US,35.62,-117.67,1594932955,102.99,13,1,5.82
165,MY,4.41,114.01,1594933149,75.2,100,40,2.24
166,TH,9.54,99.94,1594933128,83.68,74,100,6.11
167,RU,69.7,170.31,1594933149,38.93,99,100,5.14
168,ZA,-33.01,17.94,1594933149,51.8,66,0,3.36
169,PA,8.99,-79.52,1594932902,89.6,83,40,4.7
170,US,37.68,-113.06,1594933149,91.4,10,1,11.41
171,ID,1.45,125.18,1594932904,73.4,100,40,1.12
172,PK,26.0,63.04,1594933150,84.9,69,27,1.34
173,NZ,-46.13,167.68,1594933150,32.86,94,40,3.6
174,AU,-20.73,139.5,1594933150,50.0,34,0,5.82
175,RU,66.83,70.83,1594933150,45.75,79,0,4.41
176,BR,-2.58,-49.51,1594933150,82.49,66,79,2.01
177,ZA,-33.92,25.57,1594932892,41.0,93,28,4.7
178,US,64.86,-147.8,1594933150,63.0,67,75,1.43
179,GB,55.13,-6.67,1594933151,64.4,82,40,16.11
180,US,41.14,-73.36,1594932930,77.0,60,1,14.99
181,RU,63.05,179.32,1594933151,52.65,78,93,4.74
182,US,39.18,-84.53,1594933151,88.0,58,75,11.41
183,FO,62.23,-6.59,1594933151,51.8,87,0,11.41
184,US,37.46,-122.43,1594933151,73.0,64,5,11.41
185,KH,10.62,104.18,1594933152,77.0,94,40,2.24
186,RU,69.38,178.42,1594933152,43.36,87,99,10.51
187,BA,44.56,18.69,1594933152,64.4,77,20,1.12
188,IS,66.04,-17.34,1594933152,51.8,87,90,18.34
189,JP,35.73,140.83,1594933152,64.4,93,75,6.93
190,CN,22.28,113.57,1594933152,86.0,88,20,9.17
191,CA,55.1,-105.28,1594933153,66.2,63,90,10.29
192,CA,55.74,-97.86,1594933153,64.4,72,75,21.92
193,AU,-25.24,130.99,1594933153,35.6,59,0,5.82
194,PT,37.72,-25.43,1594933153,69.8,77,75,9.17
195,SA,18.39,42.45,1594933153,69.8,52,48,11.41
196,CA,54.77,-101.86,1594932905,68.0,56,75,12.75
197,VN,15.88,108.33,1594933153,77.0,88,20,3.36
198,IN,21.82,75.6,1594933153,81.07,81,5,7.92
199,NZ,-41.41,175.52,1594933154,48.99,78,100,5.99
200,IN,25.93,81.98,1594933154,88.3,65,96,10.42
201,CA,63.75,-68.51,1594933154,53.6,54,75,8.05
202,JP,38.08,138.43,1594933154,64.4,93,100,2.24
203,RU,64.9,45.76,1594933154,51.91,78,99,5.97
204,IN,28.17,94.77,1594933154,74.55,89,100,0.85
205,RU,51.5,156.52,1594933154,53.47,86,33,8.1
206,PT,38.52,-28.7,1594933155,71.6,73,75,11.41
207,AU,-12.23,136.77,1594932917,66.2,88,40,1.12
208,PG,-2.67,141.3,1594933155,78.01,83,40,1.9
209,MN,49.03,104.08,1594933155,41.94,84,95,3.4
210,CO,12.58,-81.7,1594932986,87.8,70,20,11.41
211,GR,36.75,26.96,1594933155,75.2,69,0,19.46
212,US,33.85,-118.05,1594933131,84.99,47,1,6.93
213,JP,35.13,140.3,1594933156,68.0,100,75,1.12
214,MX,22.89,-109.91,1594933131,93.2,62,5,11.41
215,RU,71.69,128.87,1594933156,37.18,85,10,19.48
216,SB,-9.43,159.95,1594933156,73.4,88,20,2.24
217,US,42.21,-71.22,1594932972,77.0,50,40,8.05
218,BG,43.22,27.92,1594933156,68.0,72,23,2.53
219,FI,65.85,24.15,1594933157,55.4,93,2,2.24
220,GL,60.92,-46.05,1594933157,64.4,36,20,8.05
221,PG,-2.02,147.27,1594932887,82.33,69,64,3.74
222,BR,-18.25,-43.6,1594933157,57.74,90,1,5.95
223,PT,32.67,-17.1,1594933157,71.6,73,1,3.36
224,RU,52.17,40.47,1594933158,53.28,92,20,6.24
225,CA,65.28,-126.83,1594933158,62.6,82,90,10.29
226,HK,22.29,114.16,1594933025,84.0,79,98,8.01
227,US,43.21,-75.46,1594933085,69.8,88,90,5.82
228,AU,-28.77,114.6,1594932914,59.0,87,90,13.87
229,RU,64.38,-173.3,1594933158,50.0,81,90,6.71
230,RU,52.26,43.79,1594933158,55.27,93,1,5.26
231,MU,-20.52,57.52,1594933158,69.8,77,40,8.05
232,ID,-4.94,122.53,1594933159,73.87,95,93,3.49
233,EG,31.26,32.28,1594933159,78.8,74,20,16.11
234,AU,-33.87,121.9,1594933159,57.2,100,90,11.41
235,CV,14.9,-24.5,1594933159,75.79,81,18,9.44
236,RU,55.83,34.27,1594933159,53.47,95,95,7.34
237,RU,55.48,86.2,1594933159,66.2,93,15,8.95
238,ID,-3.8,102.27,1594933160,76.12,87,62,4.27
239,CA,50.03,-66.87,1594933160,68.0,42,90,13.87
240,CO,0.51,-76.5,1594933160,82.4,69,27,4.7
241,BR,-29.68,-53.81,1594932894,47.44,94,100,6.44
242,UA,49.45,24.93,1594933160,59.09,86,100,3.44
243,CN,42.8,93.45,1594932895,75.7,32,52,3.31
244,NZ,-45.87,170.5,1594932911,39.99,75,43,1.99
245,MZ,-15.12,39.27,1594933161,58.08,85,1,6.76
246,RU,71.92,114.08,1594933161,47.05,61,100,20.18
247,SD,15.55,32.53,1594933161,95.0,26,96,10.29
248,VE,7.77,-72.22,1594933161,91.4,46,40,4.7
249,KZ,43.04,74.71,1594933161,68.0,64,34,8.95
250,TR,39.98,41.68,1594933161,64.4,59,0,6.93
251,PH,12.18,125.51,1594933161,82.83,77,17,6.08
252,RE,-21.37,55.62,1594933162,68.0,68,75,6.93
253,AR,-51.62,-69.22,1594933162,26.6,92,75,4.7
254,AR,-45.87,-67.5,1594933162,39.2,93,90,3.8
255,RO,47.43,24.4,1594933162,56.3,80,57,2.51
256,CI,7.26,-8.15,1594933162,68.29,96,98,2.48
257,DE,49.08,9.06,1594933162,60.01,90,100,1.01
258,IT,41.0,15.65,1594933163,75.0,69,40,3.36
259,RU,51.51,104.15,1594933163,49.91,71,5,8.86
260,CA,68.22,-135.01,1594933163,60.8,67,75,5.82
261,GA,2.08,11.5,1594933163,68.38,97,100,4.88
262,ZA,-27.01,30.81,1594933163,37.89,66,0,3.22
263,PH,5.4,125.46,1594933163,83.3,69,36,4.38
264,RO,45.87,25.78,1594933103,57.99,84,0,2.1
265,AU,-34.58,150.86,1594933164,54.0,74,56,10.0
266,BR,-7.47,-34.81,1594933164,75.2,94,75,6.93
267,CA,51.26,-80.61,1594933164,71.6,68,75,6.93
268,MX,26.71,-108.32,1594933164,97.11,37,11,8.25
269,CL,-35.33,-72.42,1594933069,53.73,82,100,9.98
270,CA,50.32,-122.8,1594933163,68.0,68,75,5.82
271,CN,42.27,118.96,1594933165,71.38,69,83,6.2
272,US,41.28,-70.1,1594933065,69.8,52,1,8.05
273,NC,-20.23,164.02,1594933165,69.57,58,20,10.38
274,QA,25.29,51.53,1594933084,95.0,63,0,4.7
275,RU,52.12,83.31,1594933165,59.02,87,27,9.01
276,US,27.88,-80.5,1594933165,89.01,69,40,10.07
277,VE,10.2,-71.31,1594933165,86.68,62,28,6.24
278,AR,-31.54,-68.54,1594933165,63.91,28,0,4.61
279,MX,20.51,-86.95,1594932938,91.4,63,20,11.41
280,TW,24.76,121.75,1594933166,84.0,78,20,1.12
281,PF,-22.43,-151.33,1594933166,69.08,68,38,10.11
282,KE,-2.27,40.9,1594933166,77.38,64,92,24.63
283,BR,-12.39,-46.57,1594933166,80.98,35,47,5.68
284,ZA,-32.16,25.62,1594933166,46.42,41,0,5.23
285,AU,-23.13,150.73,1594933167,46.4,61,0,6.93
286,NZ,-35.17,173.17,1594933167,58.59,90,100,10.09
287,MX,30.48,-115.95,1594933167,72.84,65,1,14.34
288,PK,24.7,70.18,1594933167,87.62,65,48,2.71
289,ES,40.39,-5.76,1594933167,84.0,27,23,3.0
290,JP,34.98,139.87,1594933167,68.0,100,75,1.12
291,UA,45.4,34.76,1594933168,65.5,64,99,3.58
292,BD,20.86,92.31,1594933168,79.83,88,100,6.04
293,IN,27.15,74.85,1594933168,90.23,52,3,8.23
294,BR,-23.78,-45.36,1594933168,66.96,79,71,11.1
295,SB,-10.45,161.92,1594933168,78.73,78,22,7.78
296,GB,58.97,-3.3,1594933168,57.2,100,100,2.24
297,BJ,6.5,2.6,1594933169,77.0,88,20,6.93
298,RU,59.24,163.07,1594933169,56.01,93,100,1.7
299,US,41.5,-81.7,1594932977,84.0,78,90,6.93
300,FI,61.06,28.19,1594933169,55.4,76,0,1.12
301,PH,11.0,122.67,1594933169,76.37,88,19,1.86
302,DE,51.12,13.12,1594933167,57.0,96,23,3.2
303,MY,5.34,116.16,1594933169,75.2,94,20,3.36
304,PH,8.0,124.29,1594933169,73.99,91,100,5.99
305,PF,-16.48,-151.75,1594933170,75.78,87,100,15.66
306,US,35.98,-114.83,1594933166,106.0,8,1,18.34
307,BR,-17.81,-50.6,1594933170,77.04,35,0,5.3
308,AW,12.52,-70.03,1594933098,87.8,62,20,23.04
309,BR,-22.92,-42.82,1594933170,70.0,73,75,6.93
310,SA,25.02,37.27,1594932919,82.71,70,0,5.75
311,ZW,-18.37,26.5,1594933170,56.61,41,0,9.84
312,CN,41.81,126.91,1594933171,64.24,88,4,1.34
313,CN,18.8,110.4,1594933171,82.06,85,96,11.39
314,IL,31.61,34.76,1594933171,79.0,70,0,1.36
315,BR,-8.01,-34.86,1594933040,78.8,74,40,16.11
316,HT,18.2,-73.75,1594933171,84.83,66,5,8.9
317,GL,60.14,-45.24,1594933171,51.94,52,51,12.03
318,FR,49.55,0.19,1594933172,60.8,87,25,6.93
319,ZA,-34.05,23.37,1594933172,58.03,41,44,4.85
320,RU,49.58,111.98,1594932921,52.97,82,97,8.12
321,BB,13.22,-59.52,1594933172,86.0,66,40,14.99
322,RU,63.9,122.76,1594933172,60.53,84,8,6.46
323,CL,-25.4,-70.48,1594933172,64.99,48,20,5.12
324,ML,22.68,-3.98,1594932980,94.39,31,100,5.1
325,TR,41.25,32.69,1594933172,64.67,83,75,2.44
326,MV,0.53,72.93,1594933172,84.36,67,71,3.87
327,US,35.05,-78.87,1594933173,93.99,43,1,4.7
328,ID,-0.89,119.87,1594933173,73.58,80,100,3.29
329,CI,5.14,-5.02,1594933173,75.02,85,39,9.46
330,RU,65.99,57.53,1594932894,51.42,73,70,13.69
331,IN,10.57,72.64,1594933173,82.92,80,99,24.67
332,BR,-20.33,-40.29,1594933174,71.6,73,40,9.17
333,RU,62.55,155.55,1594933174,49.44,92,100,8.01
334,US,33.19,-82.53,1594933174,93.2,49,1,8.05
335,SK,48.22,18.61,1594933174,66.99,74,100,5.99
336,HU,47.32,18.41,1594933174,69.01,77,100,10.29
337,UA,47.25,35.71,1594933174,68.23,60,100,5.14
